title,id,genres,keywords
Donnie Darko,141,"['Fantasy', 'Drama', 'Mystery']","['fire', 'parent child relationship', 'halloween', 'airplan', 'time travel', 'loss', 'school perform', 'imaginary friend', 'surreal', 'suburbia', 'vision', 'teenag', 'cult film', 'mental il', 'virginia', 'sleepwalk', '1980', 'parallel univers']"
Brokeback Mountain,142,"['Drama', 'Romance']","['countrysid', 'homophobia', 'wyom', 'intoler', 'marriage crisi', 'secret lov', 'summer', 'cowboy', 'lgbt', 'star crossed lov', '1960', 'closeted homosexu', 'gay lov', 'gay them', 'gay']"
All Quiet on the Western Front,143,"['Drama', 'War']","['germani', 'disillus', 'patriot', 'world war i', 'friendship', 'armi', 'battlefield', 'steel helmet', 'atroc', 'soldier', 'combat', 'warfar', 'death', 'pre-cod', 'anti war', 'trench', 'young soldi']"
48 Hrs.,150,"['Thriller', 'Action', 'Comedy', 'Crime', 'Drama']","['prison', 'san francisco, california', 'knife', 'partner', 'reveng', 'violenc', 'convict', 'buddy cop']"
Star Trek: The Motion Picture,152,"['Science Fiction', 'Adventure', 'Mystery']","['artificial intellig', 'man vs machin', 'san francisco, california', 'self sacrific', 'spacecraft', 'space opera', 'reunited friend']"
Lost in Translation,153,"['Drama', 'Romance', 'Comedy']","['upper class', 'japan', 'adulteri', 'hotel room', 'age differ', 'photograph', 'commerci', 'karaok', 'homesick', 'culture clash', 'midlife crisi', 'pop star', 'unsoci', 'loneli', 'unlikely friendship', 'aftercreditssting', 'woman director', 'actor']"
Star Trek II: The Wrath of Khan,154,"['Action', 'Adventure', 'Science Fiction', 'Thriller']","['life and death', 'genesi', 'asteroid', 'self sacrific', 'midlife crisi', 'terraform', 'simul', 'radiat', 'uss reli', 'genet', 'weapon of mass destruct', 'space opera']"
The Dark Knight,155,"['Drama', 'Action', 'Crime', 'Thriller']","['dc comic', 'crime fight', 'secret ident', 'sadism', 'chao', 'vigilant', 'superhero', 'based on com', 'organized crim', 'super pow', 'super villain']"
Star Trek III: The Search for Spock,157,"['Science Fiction', 'Action', 'Adventure', 'Thriller']","['genesi', 'friendship', 'space opera']"
Ocean's Eleven,161,"['Thriller', 'Crime']","['prison', 'strip club', 'thief', 'heist', 'atlantic c', 'las vega', 'card deal']"
Edward Scissorhands,162,"['Fantasy', 'Drama', 'Romance']","['underdog', 'love at first sight', 'hairdress', 'small town', 'scissor', 'inventor', 'burglar', 'isol', 'sad', 'symbol', 'fairy tal', 'unsoci', 'alon', 'flashback', 'tragic lov', 'snow', 'gothic', 'told in flashback', 'artifici', 'tragicomedi', 'signs & wond', 'love stori', 'topiari']"
Ocean's Twelve,163,"['Thriller', 'Crime']","['rome, itali', 'sequel', 'heist', 'dutch east indian compani']"
Breakfast at Tiffany's,164,"['Comedy', 'Drama', 'Romance']","['new york c', 'loss of loved on', 'age differ', 'cat', 'broken engag', ""love of one's lif"", 'jewelri', 'cigarette smok', 'millionair']"
